Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won
Barber: Violin Concerto Op. 14 (Track),nan,,,,,0
"Stravinsky: Wolpe: Lieberson (Stravinsky: Serenade In A And Sonata/Wolpe: Form IV: Broken Sequences, Pastorale, Passacaglia/Lieberson: Bagatelles) (Album)",nan,,,,,0
My Favorite Kreisler (Album),nan,,,,,0
"Beethoven: Piano Sonatas Nos. 17, Op. 31/18, Op. 31/26, Op. 81A (Album)",nan,,,,,0
"Bach: Well-Tempered Clavier, Book 2 (Album)",nan,,,,,0
"White Man Sleeps (Music By Volans, Ives, Hassell, Coleman, Johnston, Bartok) (Album)",nan,,,,,0
"Mozart: The Flute Quartets (K.285,285A,285B,298) (Album)",nan,,,,,0
Dvorák: Piano Trio In E Min./Mendelssohn: Piano Trio In D Min.,nan,,,,,0
Brahms: Piano Quartet No. 1 In G Minor (Album),nan,,,,,0
Villa-Lobos: Bachianas Brasileiras No. 5 For Soprano And Orchestra Of Violoncellos (Album),nan,,,,,0
Soiree Francaise (Album),nan,,,,,0
"R. Strauss: Lieder (Including \""Malven\"") (Album)",nan,,,,,0
Copland: Eight Poems Of Emily Dickinson (Album),nan,,,,,0
Tippett: The Mask Of Time (Album),nan,,,,,0
Sessions: Symphony No. 5 (Album),nan,,,,,0
Schwantner: A Sudden Rainbow (Album),nan,,,,,0
Babbitt: Piano Concerto,nan,,,,,0
Adams: The Chairman Dances (Album),nan,,,,,0
Tchaikovsky: 1812 Overture/Romeo And Juliet/The Nutcracker Suite (Album),nan,,,,,0
Horowitz In Moscow (Album),nan,,,,,0
Hindemith: When Lilacs Last In The Dooryard Bloom'D (A Requiem For Those We Love) (Album),nan,,,,,0
Beethoven: Symphony No. 9 In D Minor (Choral) (Album),nan,,,,,0
Michael Haas,nan,,,,,0
Thomas Frost,nan,,,,,0
Steven Epstein,nan,,,,,0
Jay David Saks,nan,,,,,0
Higher Love,Steve Winwood,Back In The High Life,1986-06-30,62.0,351506.0,1
Graceland,Paul Simon,Graceland (25th Anniversary Deluxe Edition),1986-08-12,60.0,291200.0,1
That's What Friends Are For,nan,,,,,1
Bruce Hornsby & The Range,nan,,,,,1
Send in the Clowns,Barbra Streisand,The Broadway Album,1985-01-01,39.0,281626.0,1
